from_node,to_node,from_ortho,to_ortho,from_phono,to_phono,type,position
1,16045,a,of,^,^v,insert,1
1,23976,a,the,^,D^,insert,0
1,25529,a,us,^,^s,insert,1
2,1665,aback,back,^b&k,b&k,delete,0
3,4,abandon,abandoned,^b&nd^n,^b&nd^nd,insert,7
7,1883,abash,bash,^b&S,b&S,delete,0
8,1725,abated,baited,^betId,betId,delete,0
8,6000,abated,debated,^betId,d^betId,insert,0
9,1949,abbey,be,&bi,bi,delete,0
9,2029,abbey,bee,&bi,bi,delete,0
9,21207,abbey,shabby,&bi,S&bi,insert,0
9,23588,abbey,tabby,&bi,t&bi,insert,0
10,3118,abbot,but,&b^t,b^t,delete,0
10,3122,abbot,butt,&b^t,b^t,delete,0
10,10785,abbot,habit,&b^t,h&b^t,insert,0
10,18857,abbot,rabbit,&b^t,r&b^t,insert,0
12,15,abdicate,abduct,&bd^ket,&bd^kt,delete,5
18,2005,abed,bed,^bEd,bEd,delete,0
19,20,aberration,aberrations,&bReS^n,&bReS^nz,insert,7
25,26,abilities,ability,^bIl^tiz,^bIl^ti,delete,7
27,2362,ablaze,blaze,^blez,blez,delete,0
28,3169,able,cable,eb^l,keb^l,insert,0
28,8762,able,fable,eb^l,feb^l,insert,0
28,13253,able,label,eb^l,leb^l,insert,0
28,20463,able,sable,eb^l,seb^l,insert,0
28,23590,able,table,eb^l,teb^l,insert,0
29,32,abnormal,abnormally,&bn>rm^l,&bn>rm^li,insert,8
30,31,abnormalities,abnormality,&bn>rm&l^tiz,&bn>rm&l^ti,delete,11
33,2476,aboard,board,^b>rd,b>rd,delete,0
33,2618,aboard,bored,^b>rd,b>rd,delete,0
34,2498,abode,bode,^bod,bod,delete,0
34,2683,abode,bowed,^bod,bod,delete,0
35,36,abolish,abolished,^balIS,^balISt,insert,6
38,39,abolitionist,abolitionists,&b^lIS^n^st,&b^lIS^n^s,delete,10
43,45,abortion,abortions,^b>rS^n,^b>rS^nz,insert,7
46,2664,abound,bound,^b$nd,b$nd,delete,0
47,25009,abounded,unbounded,^b$ndId,^nb$ndId,insert,1
49,2676,about,bout,^b$t,b$t,delete,0
54,2786,abreast,breast,^brEst,brEst,delete,0
56,2871,abroad,broad,^br>d,br>d,delete,0
60,1301,abs,as,&bz,&z,delete,1
60,3173,abs,cabs,&bz,k&bz,insert,0
60,12904,abs,jabs,&bz,J&bz,insert,0
60,23605,abs,tabs,&bz,t&bz,insert,0
64,66,absent,absentee,&bs^nt,&bs^nti,insert,6
66,68,absentee,absently,&bs^nti,&bs^ntli,insert,6
69,71,absolute,absolutes,&bs^lut,&bs^luts,insert,7
74,75,absorb,absorbed,^bz>rb,^bz>rbd,insert,6
74,77,absorb,absorbs,^bz>rb,^bz>rbz,insert,6
79,15991,abstain,obtain,^bsten,^bten,delete,2
86,89,abstraction,abstractions,&bstr&kS^n,&bstr&kS^nz,insert,10
93,94,absurdities,absurdity,^bsRd^tiz,^bsRd^ti,delete,8
104,3118,abut,but,^b^t,b^t,delete,0
104,3122,abut,butt,^b^t,b^t,delete,0
107,109,academic,academics,&k^dEmIk,&k^dEmIks,insert,8
112,116,accelerate,accelerator,&ksElRet,&ksElRetR,insert,8
118,120,accent,accents,&ksEnt,&ksEnts,insert,6
129,130,access,accessed,&ksEs,&ksEst,insert,5
134,135,accessories,accessors,&ksEsRiz,&ksEsRz,delete,6
134,136,accessories,accessory,&ksEsRiz,&ksEsRi,delete,7
137,140,accident,accidents,&ks^d^nt,&ks^d^nts,insert,8
138,139,accidental,accidentally,&ks^dEnt^l,&ks^dEnt^li,insert,10
141,142,acclaim,acclaimed,^klem,^klemd,insert,5
141,4065,acclaim,claim,^klem,klem,delete,0
142,4067,acclaimed,claimed,^klemd,klemd,delete,0
142,25026,acclaimed,unclaimed,^klemd,^nklemd,insert,1
145,146,accolade,accolades,&k^led,&k^ledz,insert,6
150,151,accommodation,accommodations,^kam^deS^n,^kam^deS^nz,insert,10
152,158,accompanied,accompany,^k^mp^nid,^k^mp^ni,delete,8
153,158,accompanies,accompany,^k^mp^niz,^k^mp^ni,delete,8
153,4592,accompanies,companies,^k^mp^niz,k^mp^niz,delete,0
154,155,accompaniment,accompaniments,^k^mpnIm^nt,^k^mpnIm^nts,insert,11
158,4596,accompany,company,^k^mp^ni,k^mp^ni,delete,0
161,162,accomplish,accomplished,^kamplIS,^kamplISt,insert,8
164,165,accomplishment,accomplishments,^kamplISm^nt,^kamplISm^nts,insert,12
166,171,accord,accords,^k>rd,^k>rdz,insert,5
166,3943,accord,chord,^k>rd,k>rd,delete,0
166,5250,accord,cord,^k>rd,k>rd,delete,0
166,19258,accord,record,^k>rd,r^k>rd,insert,0
169,19262,according,recording,^k>rdIN,r^k>rdIN,insert,0
171,3944,accords,chords,^k>rdz,k>rdz,delete,0
171,5253,accords,cords,^k>rdz,k>rdz,delete,0
172,5340,accost,cost,^k>st,k>st,delete,0
173,180,account,accounts,^k$nt,^k$nts,insert,5
173,5368,account,count,^k$nt,k$nt,delete,0
175,5369,accountable,countable,^k$nt^b^l,k$nt^b^l,delete,0
176,177,accountant,accountants,^k$nt^nt,^k$nt^nts,insert,8
179,5397,accounting,counting,^k$ntIN,k$ntIN,delete,0
180,5403,accounts,counts,^k$nts,k$nts,delete,0
183,184,accrue,accrued,^kru,^krud,insert,4
183,5587,accrue,crew,^kru,kru,delete,0
184,5683,accrued,crude,^krud,krud,delete,0
193,194,accusation,accusations,&ky^zeS^n,&ky^zeS^nz,insert,9
196,197,accuse,accused,^kyuz,^kyuzd,insert,5
196,5739,accuse,cues,^kyuz,kyuz,delete,0
202,206,ace,aches,es,eks,insert,1
202,1032,ace,apes,es,eps,insert,1
202,1873,ace,base,es,bes,insert,0
202,1898,ace,bass,es,bes,insert,0
202,3459,ace,case,es,kes,insert,0
202,3748,ace,chase,es,Ces,insert,0
202,8769,ace,face,es,fes,insert,0
202,13266,ace,lace,es,les,insert,0
202,14082,ace,mace,es,mes,insert,0
202,16564,ace,pace,es,pes,insert,0
202,18862,ace,race,es,res,insert,0
202,25646,ace,vase,es,ves,insert,0
204,205,ache,ached,ek,ekt,insert,2
204,206,ache,aches,ek,eks,insert,2
204,239,ache,acre,ek,ekR,insert,2
204,1726,ache,bake,ek,bek,insert,0
204,3195,ache,cake,ek,kek,insert,0
204,8831,ache,fake,ek,fek,insert,0
204,13299,ache,lake,ek,lek,insert,0
204,14180,ache,make,ek,mek,insert,0
204,21223,ache,shake,ek,Sek,insert,0
204,23638,ache,take,ek,tek,insert,0
204,25993,ache,wake,ek,wek,insert,0
205,1727,ached,baked,ekt,bekt,insert,0
205,7745,ached,eight,ekt,et,delete,1
205,8832,ached,faked,ekt,fekt,insert,0
205,18947,ached,raked,ekt,rekt,insert,0
206,1730,aches,bakes,eks,beks,insert,0
206,3196,aches,cakes,eks,keks,insert,0
206,13300,aches,lakes,eks,leks,insert,0
206,14183,aches,makes,eks,meks,insert,0
206,21226,aches,shakes,eks,Seks,insert,0
206,23643,aches,takes,eks,teks,insert,0
206,25997,aches,wakes,eks,weks,insert,0
207,208,achieve,achieved,^Civ,^Civd,insert,4
207,212,achieve,achieves,^Civ,^Civz,insert,4
209,210,achievement,achievements,^Civm^nt,^Civm^nts,insert,8
211,212,achievers,achieves,^CivRz,^Civz,delete,4
214,1731,aching,baking,ekIN,bekIN,insert,0
214,13179,aching,king,ekIN,kIN,delete,0
214,14186,aching,making,ekIN,mekIN,insert,0
214,18948,aching,raking,ekIN,rekIN,insert,0
214,21228,aching,shaking,ekIN,SekIN,insert,0
214,23644,aching,taking,ekIN,tekIN,insert,0
214,25998,aching,waking,ekIN,wekIN,insert,0
215,218,acid,acids,&s^d,&s^dz,insert,4
219,220,acknowledge,acknowledged,IknalIJ,IknalIJd,insert,7
224,5262,acorn,corn,ek>rn,k>rn,delete,0
227,18761,acquaint,quaint,^kwent,kwent,delete,0
231,232,acquire,acquired,^kw#R,^kw#Rd,insert,5
231,233,acquire,acquires,^kw#R,^kw#Rz,insert,5
231,3922,acquire,choir,^kw#R,kw#R,delete,0
235,236,acquisition,acquisitions,&kw^zIS^n,&kw^zIS^nz,insert,9
236,1150,acquisitions,aquisition,&kw^zIS^nz,&kw^zIS^n,delete,9
239,241,acre,acres,ekR,ekRz,insert,3
239,1728,acre,baker,ekR,bekR,insert,0
239,8833,acre,faker,ekR,fekR,insert,0
239,14182,acre,maker,ekR,mekR,insert,0
239,21225,acre,shaker,ekR,SekR,insert,0
242,244,acrobat,acrobats,&kr^b&t,&kr^b&ts,insert,7
246,5648,across,cross,^kr>s,kr>s,delete,0
246,13277,across,lacrosse,^kr>s,l^kr>s,insert,0
248,263,act,actor,&kt,&ktR,insert,3
248,266,act,acts,&kt,&kts,insert,3
248,1322,act,asked,&kt,&skt,insert,1
248,1431,act,at,&kt,&t,delete,1
248,1673,act,backed,&kt,b&kt,insert,0
248,8785,act,fact,&kt,f&kt,insert,0
248,13274,act,lacked,&kt,l&kt,insert,0
248,16577,act,packed,&kt,p&kt,insert,0
248,16582,act,pact,&kt,p&kt,insert,0
248,23608,act,tacked,&kt,t&kt,insert,0
251,252,action,actions,&kS^n,&kS^nz,insert,5
251,1312,action,ashen,&kS^n,&S^n,delete,1
251,8786,action,faction,&kS^n,f&kS^n,insert,0
252,8787,actions,factions,&kS^nz,f&kS^nz,insert,0
260,261,activist,activists,&kt^v^st,&kt^v^s,delete,7
263,264,actor,actors,&ktR,&ktRz,insert,4
263,8790,actor,factor,&ktR,f&ktR,insert,0
264,8792,actors,factors,&ktRz,f&ktRz,insert,0
266,1639,acts,ax,&kts,&ks,delete,2
266,1640,acts,axe,&kts,&ks,delete,2
273,5837,acute,cute,^kyut,kyut,delete,0
276,306,ad,adds,&d,&dz,insert,2
276,390,ad,ads,&d,&dz,insert,2
276,875,ad,and,&d,&nd,insert,1
276,1703,ad,bad,&d,b&d,insert,0
276,3178,ad,cad,&d,k&d,insert,0
276,5870,ad,dad,&d,d&d,insert,0
276,8798,ad,fad,&d,f&d,insert,0
276,10795,ad,had,&d,h&d,insert,0
276,13282,ad,lad,&d,l&d,insert,0
276,14097,ad,mad,&d,m&d,insert,0
276,16583,ad,pad,&d,p&d,insert,0
276,20480,ad,sad,&d,s&d,insert,0
276,23618,ad,tad,&d,t&d,insert,0
286,306,add,adds,&d,&dz,insert,2
286,390,add,ads,&d,&dz,insert,2
286,875,add,and,&d,&nd,insert,1
286,1703,add,bad,&d,b&d,insert,0
286,3178,add,cad,&d,k&d,insert,0
286,5870,add,dad,&d,d&d,insert,0
286,8798,add,fad,&d,f&d,insert,0
286,10795,add,had,&d,h&d,insert,0
286,13282,add,lad,&d,l&d,insert,0
286,14097,add,mad,&d,m&d,insert,0
286,16583,add,pad,&d,p&d,insert,0
286,20480,add,sad,&d,s&d,insert,0
286,23618,add,tad,&d,t&d,insert,0
288,294,addict,addicts,&dIkt,&dIkts,insert,5
291,292,addiction,addictions,^dIkS^n,^dIkS^nz,insert,7
291,296,addiction,addition,^dIkS^n,^dIS^n,delete,3
291,6651,addiction,diction,^dIkS^n,dIkS^n,delete,0
291,7690,addiction,edition,^dIkS^n,^dIS^n,delete,3
292,299,addictions,additions,^dIkS^nz,^dIS^nz,delete,3
295,6736,adding,ding,&dIN,dIN,delete,0
295,16585,adding,padding,&dIN,p&dIN,insert,0
296,299,addition,additions,^dIS^n,^dIS^nz,insert,6
296,358,addition,admission,^dIS^n,^dmIS^n,insert,2
299,359,additions,admissions,^dIS^nz,^dmIS^nz,insert,2
299,7690,additions,edition,^dIS^nz,^dIS^n,delete,6
301,391,addle,adult,&d^l,&d^lt,insert,4
301,7514,addle,dull,&d^l,d^l,delete,0
301,16586,addle,paddle,&d^l,p&d^l,insert,0
301,20483,addle,saddle,&d^l,s&d^l,insert,0
302,304,address,addressee,&drEs,&drEsi,insert,5
302,7401,address,dress,&drEs,drEs,delete,0
303,7402,addressed,dressed,^drEst,drEst,delete,0
304,7408,addressee,dressy,&drEsi,drEsi,delete,0
306,877,adds,ands,&dz,&ndz,insert,1
306,1301,adds,as,&dz,&z,delete,1
306,1710,adds,bads,&dz,b&dz,insert,0
306,5871,adds,dads,&dz,d&dz,insert,0
306,8804,adds,fads,&dz,f&dz,insert,0
306,16591,adds,pads,&dz,p&dz,insert,0
307,369,adduce,ado,^dus,^du,delete,3
307,6539,adduce,deuce,^dus,dus,delete,0
307,19332,adduce,reduce,^dus,r^dus,insert,0
312,316,adhere,adheres,^dhIr,^dhIrz,insert,5
322,323,adjective,adjectives,&JIktIv,&JIktIvz,insert,7
324,325,adjoin,adjoined,^J%n,^J%nd,insert,4
324,327,adjoin,adjoins,^J%n,^J%nz,insert,4
324,12998,adjoin,join,^J%n,J%n,delete,0
325,12999,adjoined,joined,^J%nd,J%nd,delete,0
326,13000,adjoining,joining,^J%nIN,J%nIN,delete,0
327,13001,adjoins,joins,^J%nz,J%nz,delete,0
329,13042,adjudged,judged,^J^Jd,J^Jd,delete,0
336,337,adjustment,adjustments,^J^stm^nt,^J^stm^nts,insert,9
339,340,administer,administered,^dmIn^stR,^dmIn^stRd,insert,9
348,349,admiral,admirals,&dmR^l,&dmR^lz,insert,6
351,382,admiration,adoration,&dmReS^n,&dReS^n,delete,2
358,359,admission,admissions,^dmIS^n,^dmIS^nz,insert,7
358,7690,admission,edition,^dmIS^n,^dIS^n,delete,2
360,361,admit,admits,^dmIt,^dmIts,insert,5
367,368,admonition,admonitions,&dm^nIS^n,&dm^nIS^nz,insert,9
369,6584,ado,dew,^du,du,delete,0
369,7163,ado,do,^du,du,delete,0
369,7498,ado,due,^du,du,delete,0
369,25144,ado,undo,^du,^ndu,insert,1
369,25154,ado,undue,^du,^ndu,insert,1
371,373,adolescence,adolescents,&d^lEs^ns,&d^lEs^nts,insert,8
372,373,adolescent,adolescents,&d^lEs^nt,&d^lEs^nts,insert,9
374,380,adopt,adopts,^dapt,^dapts,insert,5
377,378,adoption,adoptions,^dapS^n,^dapS^nz,insert,7
383,385,adored,adorned,^d>rd,^d>rnd,insert,4
384,7257,adores,doors,^d>rz,d>rz,delete,0
390,877,ads,ands,&dz,&ndz,insert,1
390,1301,ads,as,&dz,&z,delete,1
390,1710,ads,bads,&dz,b&dz,insert,0
390,5871,ads,dads,&dz,d&dz,insert,0
390,8804,ads,fads,&dz,f&dz,insert,0
390,16591,ads,pads,&dz,p&dz,insert,0
391,396,adult,adults,&d^lt,&d^lts,insert,5
397,398,advance,advanced,^dv&ns,^dv&nst,insert,6
399,400,advancement,advancements,^dv&nsm^nt,^dv&nsm^nts,insert,10
407,409,adventure,adventures,^dvEnCR,^dvEnCRz,insert,7
408,409,adventurers,adventures,^dvEnCRRz,^dvEnCRz,delete,7
413,414,adversaries,adversary,&dvRsEriz,&dvRsEri,delete,8
415,1604,adverse,averse,^dvRs,^vRs,delete,1
419,420,advertise,advertised,&dvRt#z,&dvRt#zd,insert,7
421,422,advertisement,advertisements,&dvRt#zm^nt,&dvRt#zm^nts,insert,11
427,428,advise,advised,^dv#z,^dv#zd,insert,5
427,433,advise,advisor,^dv#z,^dv#zR,insert,5
433,434,advisor,advisors,^dv#zR,^dv#zRz,insert,6
433,435,advisor,advisory,^dv#zR,^dv#zRi,insert,6
437,439,advocate,advocates,&dv^ket,&dv^kets,insert,7
441,442,aerate,aerates,Eret,Erets,insert,4
441,19026,aerate,rate,Eret,ret,delete,0
441,21143,aerate,serrate,Eret,sEret,insert,0
442,19028,aerates,rates,Erets,rets,delete,0
443,15460,aeration,narration,EreS^n,nEreS^n,insert,0
444,1193,aerial,area,Eri^l,Eri^,delete,4
444,3069,aerial,burial,Eri^l,bEri^l,insert,0
449,602,aeroplane,airplane,Eroplen,Erplen,delete,2
451,609,aerospace,airspace,Erospes,Erspes,delete,2
452,453,aesthetic,aesthetics,EsTEtIk,EsTEtIks,insert,7
454,8873,afar,far,^far,far,delete,0
455,456,affair,affairs,^fEr,^fErz,insert,4
455,8814,affair,fair,^fEr,fEr,delete,0
455,8876,affair,fare,^fEr,fEr,delete,0
455,25179,affair,unfair,^fEr,^nfEr,insert,1
456,8822,affairs,fairs,^fErz,fErz,delete,0
456,8877,affairs,fares,^fErz,fErz,delete,0
457,465,affect,affects,^fEkt,^fEkts,insert,5
465,7704,affects,effect,^fEkts,^fEkt,delete,5
472,473,affinities,affinity,^fIn^tiz,^fIn^ti,delete,7
474,478,affirm,affirmed,^fRm,^fRmd,insert,4
474,480,affirm,affirms,^fRm,^fRmz,insert,4
474,9219,affirm,firm,^fRm,fRm,delete,0
483,9437,affluent,fluent,&flu^nt,flu^nt,delete,0
484,487,afford,affords,^f>rd,^f>rdz,insert,5
487,9571,affords,fords,^f>rdz,f>rdz,delete,0
490,9077,afield,field,^fild,fild,delete,0
491,9287,aflame,flame,^flem,flem,delete,0
492,9379,afloat,float,^flot,flot,delete,0
493,9526,afoot,foot,^fUt,fUt,delete,0
496,9763,afraid,frayed,^fred,fred,delete,0
497,498,african,africans,&fr^k^n,&fr^k^nz,insert,7
499,13401,after,laughter,&ftR,l&ftR,insert,0
505,506,afternoon,afternoons,&ftRnun,&ftRnunz,insert,7
508,509,afterward,afterwards,&ftRwRd,&ftRwRdz,insert,7
512,513,age,aged,eJ,eJd,insert,2
512,521,age,agey,eJ,eJi,insert,2
512,3192,age,cage,eJ,keJ,insert,0
512,10100,age,gauge,eJ,geJ,insert,0
512,16596,age,page,eJ,peJ,insert,0
512,18908,age,rage,eJ,reJ,insert,0
512,20500,age,sage,eJ,seJ,insert,0
512,25963,age,wage,eJ,weJ,insert,0
513,564,aged,aid,eJd,ed,delete,1
513,565,aged,aide,eJd,ed,delete,1
513,18909,aged,raged,eJd,reJd,insert,0
513,25964,aged,waged,eJd,weJd,insert,0
514,515,agencies,agency,eJ^nsiz,eJ^nsi,delete,6
516,517,agenda,agendas,^JEnd^,^JEnd^z,insert,6
518,519,agent,agents,eJ^nt,eJ^nts,insert,5
520,16600,ages,pages,eJ^z,peJ^z,insert,0
520,25966,ages,wages,eJ^z,weJ^z,insert,0
522,1716,aggie,baggy,&gi,b&gi,insert,0
522,20504,aggie,saggy,&gi,s&gi,insert,0
522,21222,aggie,shaggy,&gi,S&gi,insert,0
525,526,aggravate,aggravates,&gr^vet,&gr^vets,insert,7
530,531,aggression,aggressions,^grES^n,^grES^nz,insert,7
530,19462,aggression,regression,^grES^n,r^grES^n,insert,0
536,550,aggrieve,agree,^griv,^gri,delete,4
537,10083,aghast,gassed,^g&st,g&st,delete,0
539,16604,aging,paging,eJIN,peJIN,insert,0
539,18913,aging,raging,eJIN,reJIN,insert,0
539,25972,aging,waging,eJIN,weJIN,insert,0
540,543,agitate,agitator,&J^tet,&J^tetR,insert,6
545,10296,agleam,gleam,^glim,glim,delete,0
545,24937,agleam,ugly,^glim,^gli,delete,4
550,553,agree,agreed,^gri,^grid,insert,4
550,557,agree,agrees,^gri,^griz,insert,4
553,10563,agreed,greed,^grid,grid,delete,0
555,556,agreement,agreements,^grim^nt,^grim^nts,insert,8
561,10643,aground,ground,^gr$nd,gr$nd,delete,0
562,11054,ahead,head,^hEd,hEd,delete,0
564,567,aid,aides,ed,edz,insert,2
564,569,aid,aids,ed,edz,insert,2
564,573,aid,aimed,ed,emd,insert,1
564,1943,aid,bayed,ed,bed,insert,0
564,8799,aid,fade,ed,fed,insert,0
564,12912,aid,jade,ed,Jed,insert,0
564,13296,aid,laid,ed,led,insert,0
564,13431,aid,layed,ed,led,insert,0
564,14103,aid,made,ed,med,insert,0
564,14144,aid,maid,ed,med,insert,0
564,16606,aid,paid,ed,ped,insert,0
564,18917,aid,raid,ed,red,insert,0
564,21209,aid,shade,ed,Sed,insert,0
564,25960,aid,wade,ed,wed,insert,0
564,26228,aid,weighed,ed,wed,insert,0
565,567,aide,aides,ed,edz,insert,2
565,569,aide,aids,ed,edz,insert,2
565,573,aide,aimed,ed,emd,insert,1
565,1943,aide,bayed,ed,bed,insert,0
565,8799,aide,fade,ed,fed,insert,0
565,12912,aide,jade,ed,Jed,insert,0
565,13296,aide,laid,ed,led,insert,0
565,13431,aide,layed,ed,led,insert,0
565,14103,aide,made,ed,med,insert,0
565,14144,aide,maid,ed,med,insert,0
565,16606,aide,paid,ed,ped,insert,0
565,18917,aide,raid,ed,red,insert,0
565,21209,aide,shade,ed,Sed,insert,0
565,25960,aide,wade,ed,wed,insert,0
565,26228,aide,weighed,ed,wed,insert,0
566,8800,aided,faded,ed^d,fed^d,insert,0
567,8802,aides,fades,edz,fedz,insert,0
567,14148,aides,maids,edz,medz,insert,0
567,18920,aides,raids,edz,redz,insert,0
567,21211,aides,shades,edz,Sedz,insert,0
568,6736,aiding,ding,edIN,dIN,delete,0
568,8803,aiding,fading,edIN,fedIN,insert,0
568,18919,aiding,raiding,edIN,redIN,insert,0
569,8802,aids,fades,edz,fedz,insert,0
569,14148,aids,maids,edz,medz,insert,0
569,18920,aids,raids,edz,redz,insert,0
569,21211,aids,shades,edz,Sedz,insert,0
571,639,ails,ale,elz,el,delete,2
571,1745,ails,bales,elz,belz,insert,0
571,8807,ails,fails,elz,felz,insert,0
571,10801,ails,hails,elz,helz,insert,0
571,12919,ails,jails,elz,Jelz,insert,0
571,14198,ails,males,elz,melz,insert,0
571,15436,ails,nails,elz,nelz,insert,0
571,16640,ails,pales,elz,pelz,insert,0
571,18927,ails,rails,elz,relz,insert,0
571,20517,ails,sails,elz,selz,insert,0
571,20529,ails,sales,elz,selz,insert,0
571,23634,ails,tails,elz,telz,insert,0
571,23650,ails,tales,elz,telz,insert,0
571,25668,ails,veils,elz,velz,insert,0
571,25978,ails,wails,elz,welz,insert,0
571,26277,ails,whales,elz,welz,insert,0
572,573,aim,aimed,em,emd,insert,2
572,576,aim,aims,em,emz,insert,2
572,3239,aim,came,em,kem,insert,0
572,5888,aim,dame,em,dem,insert,0
572,8849,aim,fame,em,fem,insert,0
572,10028,aim,game,em,gem,insert,0
572,13304,aim,lame,em,lem,insert,0
572,15442,aim,name,em,nem,insert,0
572,20554,aim,same,em,sem,insert,0
572,21239,aim,shame,em,Sem,insert,0
572,23667,aim,tame,em,tem,insert,0
573,8850,aimed,famed,emd,femd,insert,0
573,14157,aimed,maimed,emd,memd,insert,0
573,15443,aimed,named,emd,nemd,insert,0
573,21240,aimed,shamed,emd,Semd,insert,0
574,10034,aiming,gaming,emIN,gemIN,insert,0
574,15448,aiming,naming,emIN,nemIN,insert,0
574,23669,aiming,taming,emIN,temIN,insert,0
575,15444,aimless,nameless,eml^s,neml^s,insert,0
575,21242,aimless,shameless,eml^s,Seml^s,insert,0
576,10032,aims,games,emz,gemz,insert,0
576,15446,aims,names,emz,nemz,insert,0
577,587,air,aired,Er,Erd,insert,2
577,606,air,airs,Er,Erz,insert,2
577,615,air,airy,Er,Eri,insert,2
577,1267,air,arrow,Er,Ero,insert,2
577,1833,air,bare,Er,bEr,insert,0
577,1971,air,bear,Er,bEr,insert,0
577,3379,air,care,Er,kEr,insert,0
577,3656,air,chair,Er,CEr,insert,0
577,5912,air,dare,Er,dEr,insert,0
577,8239,air,era,Er,Er^,insert,2
577,8265,air,error,Er,ErR,insert,2
577,8266,air,errs,Er,Erz,insert,2
577,8814,air,fair,Er,fEr,insert,0
577,8876,air,fare,Er,fEr,insert,0
577,10804,air,hair,Er,hEr,insert,0
577,10966,air,hare,Er,hEr,insert,0
577,11162,air,heirs,Er,Erz,insert,2
577,13297,air,lair,Er,lEr,insert,0
577,14320,air,mare,Er,mEr,insert,0
577,16624,air,pair,Er,pEr,insert,0
577,16971,air,pear,Er,pEr,insert,0
577,19012,air,rare,Er,rEr,insert,0
577,21254,air,share,Er,SEr,insert,0
577,23986,air,their,Er,DEr,insert,0
577,24012,air,there,Er,DEr,insert,0
577,26187,air,wear,Er,wEr,insert,0
577,26303,air,where,Er,wEr,insert,0
584,7674,aircrew,ecru,Erkru,Ekru,delete,1
585,586,airdrop,airdrops,Erdrap,Erdraps,insert,6
587,3380,aired,cared,Erd,kErd,insert,0
587,5913,aired,dared,Erd,dErd,insert,0
587,8246,aired,ere,Erd,Er,delete,2
587,8258,aired,err,Erd,Er,delete,2
587,10811,aired,haired,Erd,hErd,insert,0
587,11160,aired,heir,Erd,Er,delete,2
587,16625,aired,paired,Erd,pErd,insert,0
587,21256,aired,shared,Erd,SErd,insert,0
589,590,airfield,airfields,Erfild,Erfildz,insert,6
594,19123,airily,really,ErIli,rIli,delete,0
595,3389,airless,careless,Erl^s,kErl^s,insert,0
597,598,airline,airliner,Erl#n,Erl#nR,insert,5
597,10812,airline,hairline,Erl#n,hErl#n,insert,0
598,599,airliner,airliners,Erl#nR,Erl#nRz,insert,6
602,603,airplane,airplanes,Erplen,Erplenz,insert,6
604,605,airport,airports,Erp>rt,Erp>rts,insert,6
606,1979,airs,bears,Erz,bErz,insert,0
606,3391,airs,cares,Erz,kErz,insert,0
606,3660,airs,chairs,Erz,CErz,insert,0
606,8246,airs,ere,Erz,Er,delete,2
606,8258,airs,err,Erz,Er,delete,2
606,8822,airs,fairs,Erz,fErz,insert,0
606,8877,airs,fares,Erz,fErz,insert,0
606,10816,airs,hairs,Erz,hErz,insert,0
606,11160,airs,heir,Erz,Er,delete,2
606,16626,airs,pairs,Erz,pErz,insert,0
606,16974,airs,pears,Erz,pErz,insert,0
606,21259,airs,shares,Erz,SErz,insert,0
606,24018,airs,theres,Erz,DErz,insert,0
606,26044,airs,wares,Erz,wErz,insert,0
606,26193,airs,wears,Erz,wErz,insert,0
612,614,airwaves,airways,Erwevz,Erwez,delete,4
613,614,airway,airways,Erwe,Erwez,insert,4
613,8823,airway,fairway,Erwe,fErwe,insert,0
615,1193,airy,area,Eri,Eri^,insert,3
615,2166,airy,berry,Eri,bEri,insert,0
615,3096,airy,bury,Eri,bEri,insert,0
615,3424,airy,carry,Eri,kEri,insert,0
615,3824,airy,cherry,Eri,CEri,insert,0
615,5876,airy,dairy,Eri,dEri,insert,0
615,8246,airy,ere,Eri,Er,delete,2
615,8258,airy,err,Eri,Er,delete,2
615,8395,airy,every,Eri,Evri,insert,1
615,8824,airy,fairy,Eri,fEri,insert,0
615,9033,airy,ferry,Eri,fEri,insert,0
615,10820,airy,hairy,Eri,hEri,insert,0
615,11160,airy,heir,Eri,Er,delete,2
615,14363,airy,marry,Eri,mEri,insert,0
615,14669,airy,merry,Eri,mEri,insert,0
615,19073,airy,re,Eri,ri,delete,0
615,21310,airy,sherry,Eri,SEri,insert,0
615,23716,airy,tarry,Eri,tEri,insert,0
615,25643,airy,vary,Eri,vEri,insert,0
615,25738,airy,very,Eri,vEri,insert,0
615,26085,airy,wary,Eri,wEri,insert,0
616,617,aisle,aisles,#l,#lz,insert,2
616,6606,aisle,dial,#l,d#l,insert,0
616,8736,aisle,eye,#l,#,delete,1
616,9112,aisle,file,#l,f#l,insert,0
616,11747,aisle,i,#l,#,delete,1
616,14790,aisle,mile,#l,m#l,insert,0
616,17404,aisle,pile,#l,p#l,insert,0
616,20150,aisle,rile,#l,r#l,insert,0
616,24204,aisle,tile,#l,t#l,insert,0
616,25812,aisle,vile,#l,v#l,insert,0
616,26423,aisle,wile,#l,w#l,insert,0
617,1647,aisles,ayes,#lz,#z,delete,1
617,8754,aisles,eyes,#lz,#z,delete,1
617,9114,aisles,files,#lz,f#lz,insert,0
617,14792,aisles,miles,#lz,m#lz,insert,0
617,17406,aisles,piles,#lz,p#lz,insert,0
617,24206,aisles,tiles,#lz,t#lz,insert,0
617,26424,aisles,wiles,#lz,w#lz,insert,0
618,13170,akin,kin,^kIn,kIn,delete,0
620,621,alarm,alarmed,^larm,^larmd,insert,5
620,623,alarm,alarms,^larm,^larmz,insert,5
626,627,albanian,albanians,&lbeni^n,&lbeni^nz,insert,8
